Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L,Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding
,,,,,,,,,Starting Capital,,100000.0
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,75.0,819.51,9.24,810.28,Take Profit 1,0.88,100810.28
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,300.0,4267.43,37.57,4229.87,Trailing Stop,1.73,105040.14
2025-07-21 09:25:13,2025-07-21 09:25:54,221.7,231.75,,75.0,742.86,10.89,731.97,Take Profit 1,0.68,105772.12
2025-07-21 09:25:13,2025-07-21 09:26:34,221.7,223.75,,300.0,572.95,42.05,530.9,Trailing Stop,1.35,106303.02
2025-07-21 09:28:50,2025-07-21 09:33:06,226.45,237.1,,75.0,787.61,11.14,776.47,Take Profit 1,4.27,107079.49
2025-07-21 09:28:50,2025-07-21 09:34:02,226.45,234.0,,300.0,2221.03,43.97,2177.05,Trailing Stop,5.2,109256.54
2025-07-21 09:36:54,2025-07-21 09:39:40,224.5,223.25,,450.0,-625.43,62.93,-688.36,Trailing Stop,2.77,108568.18
2025-07-21 09:46:46,2025-07-21 09:47:15,190.15,178.0,,450.0,-5517.68,50.18,-5567.85,Stop Loss,0.48,103000.33
2025-07-21 09:48:07,2025-07-21 09:48:59,172.4,159.35,,375.0,-4931.18,37.43,-4968.62,Stop Loss,0.87,98031.71
2025-07-21 09:49:29,2025-07-21 09:50:20,162.95,150.35,,375.0,-4760.32,35.32,-4795.64,Stop Loss,0.85,93236.08
2025-07-21 09:52:24,2025-07-21 09:54:46,150.4,137.1,,375.0,-5019.71,32.21,-5051.91,Stop Loss,2.37,88184.16
2025-07-21 09:58:54,2025-07-21 10:01:50,127.6,125.55,,300.0,-638.59,23.59,-662.19,Trailing Stop,2.93,87521.98
2025-07-21 10:06:07,2025-07-21 10:09:20,128.8,116.65,,300.0,-3666.92,21.92,-3688.84,Stop Loss,3.22,83833.13
