Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"1,609.36",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,MACD Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry
"EMA Crossover, MACD","Fast EMA: 9, Slow EMA: 21","Fast: 12, Slow: 26, Signal: 9",9.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",4
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-08-22 09:20:00,2025-08-22 09:20:21,213.4,223.95,,75,780.73
2025-08-22 09:20:00,2025-08-22 09:22:37,213.4,221.4,,300,2358.39
2025-08-22 09:23:33,2025-08-22 09:25:23,224.55,226.45,,375,659.31
2025-08-22 09:25:28,2025-08-22 09:29:57,231.1,241.6,,75,776.15
2025-08-22 09:25:28,2025-08-22 09:31:08,231.1,257.35,,75,1956.66
2025-08-22 09:25:28,2025-08-22 09:32:48,231.1,264.2,,225,7410.26
2025-08-22 09:33:28,2025-08-22 09:34:45,267.55,258.55,,375,-3435.74
2025-08-22 09:36:05,2025-08-22 09:36:51,263.75,254,,375,-3715.92
2025-08-22 09:37:47,2025-08-22 09:41:23,263,253.25,,375,-3715.74
2025-08-22 09:42:26,2025-08-22 09:44:56,257,248,,375,-3433.26
2025-08-22 09:46:58,2025-08-22 09:50:36,252.3,262.85,,75,778.9
2025-08-22 09:46:58,2025-08-22 09:51:45,252.3,262.2,,225,2190.54
2025-08-22 09:52:36,2025-08-22 09:53:14,258.2,249.2,,375,-3433.54
2025-08-22 09:54:45,2025-08-22 09:55:26,257.1,267.25,,75,748.69
2025-08-22 09:54:45,2025-08-22 09:56:48,257.1,264.75,,225,1683.93
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
10.52,770.21,Take Profit 1,0.35,100770.21,,
41.61,2316.79,Trailing Stop,2.62,103086.99,,
53.19,606.11,Trailing Stop,1.83,103693.1,,
11.35,764.8,Take Profit 1,4.48,104457.9,,
12.09,1944.57,Take Profit 2,5.67,106402.47,,
37.24,7373.02,Trailing Stop,7.33,113775.5,,
60.74,-3496.47,Stop Loss,1.28,110279.03,,
59.67,-3775.58,Stop Loss,0.77,106503.44,,
59.49,-3775.23,Stop Loss,3.6,102728.21,,
58.26,-3491.51,Stop Loss,2.5,99236.7,,
12.35,766.55,Take Profit 1,3.63,100003.25,,
36.96,2153.59,Trailing Stop,4.78,102156.84,,
58.54,-3492.08,Stop Loss,0.63,98664.76,,
12.56,736.14,Take Profit 1,0.68,99400.9,,
37.32,1646.62,Trailing Stop,2.05,101047.52,,
