Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,-774.13,Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",7.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",4,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-08-22 09:20:00,2025-08-22 09:20:21,213.4,223.95,,75,780.73
2025-08-22 09:20:00,2025-08-22 09:22:37,213.4,221.4,,300,2358.39
2025-08-22 09:23:33,2025-08-22 09:25:23,224.55,226.45,,375,659.31
2025-08-22 09:25:28,2025-08-22 09:29:57,231.1,241.6,,75,776.15
2025-08-22 09:25:28,2025-08-22 09:31:08,231.1,257.35,,75,1956.66
2025-08-22 09:25:28,2025-08-22 09:32:48,231.1,264.2,,225,7410.26
2025-08-22 09:33:28,2025-08-22 09:34:39,267.55,259.8,,375,-2967.28
2025-08-22 09:36:05,2025-08-22 09:36:44,263.75,255.95,,375,-2985.12
2025-08-22 09:37:47,2025-08-22 09:40:41,263,255.9,,375,-2722.61
2025-08-22 09:42:26,2025-08-22 09:44:32,257,250,,375,-2683.73
2025-08-22 09:46:58,2025-08-22 09:47:31,252.3,245.3,,375,-2682.62
2025-08-22 09:48:59,2025-08-22 09:51:30,258.65,269.1,,75,771.11
2025-08-22 09:48:59,2025-08-22 09:51:45,258.65,262.2,,225,761.79
2025-08-22 09:52:36,2025-08-22 09:53:12,258.2,251,,300,-2207.17
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
10.52,770.21,Take Profit 1,0.35,100770.21,,
41.61,2316.79,Trailing Stop,2.62,103086.99,,
53.19,606.11,Trailing Stop,1.83,103693.1,,
11.35,764.8,Take Profit 1,4.48,104457.9,,
12.09,1944.57,Take Profit 2,5.67,106402.47,,
37.24,7373.02,Trailing Stop,7.33,113775.5,,
61.03,-3028.31,Stop Loss,1.18,110747.19,,
60.12,-3045.25,Stop Loss,0.65,107701.94,,
60.11,-2782.73,Stop Loss,2.9,104919.21,,
58.73,-2742.45,Stop Loss,2.1,102176.76,,
57.62,-2740.25,Stop Loss,0.55,99436.51,,
12.64,758.46,Take Profit 1,2.52,100194.98,,
36.96,724.84,Trailing Stop,2.77,100919.82,,
47.17,-2254.34,Stop Loss,0.6,98665.48,,
