Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-6,883.17",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,MACD Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry
"EMA Crossover, MACD","Fast EMA: 9, Slow EMA: 21","Fast: 12, Slow: 26, Signal: 9",5.0,"10.0, 50.0, 75.0, 100.0","Enabled: True, Activation: 7.0 points, Distance: 7.0 points",3
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-08-21 13:50:39,2025-08-21 13:52:36,219.9,214.6,,375,-2037.91
2025-08-21 14:18:18,2025-08-21 14:21:01,199.85,194.55,,450,-2439.84
2025-08-21 14:37:53,2025-08-21 14:37:58,215.6,210,,375,-2149.33
2025-08-21 14:46:43,2025-08-21 14:59:23,212.7,212.15,,375,-256.09
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
50.41,-2088.32,Stop Loss,1.95,97911.68,,
54.84,-2494.68,Stop Loss,2.72,95416.99,,
49.33,-2198.66,Stop Loss,0.08,93218.33,,
49.84,-305.92,Trailing Stop,12.67,92912.41,,
