Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L,Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding
,,,,,,,,,Starting Capital,,100000.0
2025-07-18 11:08:04,2025-07-18 11:21:18,197.75,189.5,,450.0,-3765.92,53.42,-3819.34,Stop Loss,13.23,96180.66
2025-07-18 11:31:59,2025-07-18 11:34:57,189.75,199.85,,75.0,748.11,9.39,738.72,Take Profit 1,2.97,96919.39
2025-07-18 11:31:59,2025-07-18 11:37:29,189.75,197.4,,375.0,2822.38,46.37,2776.01,Trailing Stop,5.5,99695.39
2025-07-18 11:44:05,2025-07-18 11:46:29,210.2,202.95,,450.0,-3319.71,57.21,-3376.92,Stop Loss,2.4,96318.48
2025-07-18 11:54:03,2025-07-18 12:12:05,193.0,203.6,,75.0,785.43,9.57,775.87,Take Profit 1,18.03,97094.34
2025-07-18 11:54:03,2025-07-18 12:20:41,193.0,208.5,,375.0,5763.52,48.98,5714.54,Trailing Stop,26.63,102808.89
2025-07-18 12:36:48,2025-07-18 12:39:16,207.0,198.35,,450.0,-3948.41,55.91,-4004.33,Stop Loss,2.47,98804.56
2025-07-18 12:44:08,2025-07-18 12:49:36,199.0,196.45,,450.0,-1202.88,55.38,-1258.25,Trailing Stop,5.47,97546.31
2025-07-18 13:58:54,2025-07-18 14:03:14,174.9,177.05,,525.0,1070.52,58.23,1012.3,Trailing Stop,4.33,98558.61
2025-07-18 14:29:42,2025-07-18 14:32:26,169.2,162.2,,525.0,-3728.34,53.34,-3781.69,Stop Loss,2.73,94776.92
2025-07-18 14:44:15,2025-07-18 14:46:13,174.0,174.1,,450.0,-4.08,49.08,-53.15,Trailing Stop,1.97,94723.77
