Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"4,269.60",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
"EMA Crossover, VWAP","Fast EMA: 9, Slow EMA: 21",5.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,75,819.51
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,375,5334.29
2025-07-21 09:21:56,2025-07-21 09:22:44,205.5,215.5,,75,739.88
2025-07-21 09:21:56,2025-07-21 09:23:53,205.5,211.6,,375,2237.79
2025-07-21 09:24:40,2025-07-21 09:24:44,214.95,209.75,,450,-2399.13
2025-07-21 09:24:58,2025-07-21 09:25:21,212.95,223.8,,75,803.24
2025-07-21 09:24:58,2025-07-21 09:26:34,212.95,223.75,,375,3997.44
2025-07-21 09:26:53,2025-07-21 09:27:04,231,225.85,,450,-2381.16
2025-07-21 09:27:16,2025-07-21 09:27:21,231.35,226.3,,375,-1946.91
2025-07-21 09:27:59,2025-07-21 09:30:19,226.25,219.7,,375,-2507.86
2025-07-21 09:30:32,2025-07-21 09:30:47,226.5,221.25,,375,-2020.72
2025-07-21 09:31:32,2025-07-21 09:33:06,224,237.1,,75,971.36
2025-07-21 09:31:32,2025-07-21 09:34:02,224,234,,300,2956.03
2025-07-21 09:36:53,2025-07-21 09:37:41,223.8,218.75,,450,-2334.16
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
9.24,810.28,Take Profit 1,0.88,100810.28,,
46.96,5287.33,Trailing Stop,1.73,106097.61,,
10.12,729.75,Take Profit 1,0.8,106827.36,,
49.71,2188.09,Trailing Stop,1.95,109015.45,,
59.13,-2458.25,Stop Loss,0.07,106557.2,,
10.51,792.72,Take Profit 1,0.38,107349.92,,
52.56,3944.88,Trailing Stop,1.6,111294.8,,
63.66,-2444.83,Stop Loss,0.18,108849.97,,
53.16,-2000.07,Stop Loss,0.08,106849.9,,
51.61,-2559.47,Stop Loss,2.33,104290.43,,
51.97,-2072.7,Stop Loss,0.25,102217.73,,
11.14,960.22,Take Profit 1,1.57,103177.95,,
43.97,2912.05,Trailing Stop,2.5,106090.01,,
61.66,-2395.83,Stop Loss,0.8,103694.18,,
