Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-1,897.14",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",7.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-09-30 09:20:17,2025-09-30 09:20:55,234.85,245,,75,749.5
2025-09-30 09:20:17,2025-09-30 09:21:50,234.85,245.1,,300,3027.98
2025-09-30 09:23:23,2025-09-30 09:24:03,226.75,226.2,,450,-312.58
2025-09-30 09:24:41,2025-09-30 09:25:40,224.55,235.6,,75,817.45
2025-09-30 09:24:41,2025-09-30 09:26:21,224.55,229.45,,375,1782.48
2025-09-30 09:28:16,2025-09-30 09:29:04,208.1,206.7,,450,-689.47
2025-09-30 09:29:56,2025-09-30 09:30:52,195.2,187.65,,525,-4026.74
2025-09-30 09:31:40,2025-09-30 09:32:43,185.9,197.55,,75,864.28
2025-09-30 09:31:40,2025-09-30 09:34:11,185.9,203.45,,450,7838.96
2025-09-30 09:34:38,2025-09-30 09:34:57,201.5,194.1,,525,-3950.16
2025-09-30 09:36:38,2025-09-30 09:39:01,184.55,183.85,,525,-429.22
2025-09-30 09:40:04,2025-09-30 09:41:19,176.4,169.05,,525,-3915.5
2025-09-30 09:42:41,2025-09-30 09:44:22,176,176.75,,525,334.42
2025-09-30 09:45:32,2025-09-30 09:47:48,163.95,174,,150,1490.81
2025-09-30 09:45:32,2025-09-30 09:50:56,163.95,178.5,,450,6496.14
2025-09-30 09:51:01,2025-09-30 09:51:35,181.35,173.75,,600,-4626.66
2025-09-30 09:52:05,2025-09-30 09:53:37,177.35,175,,525,-1292.49
2025-09-30 09:53:50,2025-09-30 09:55:03,178,170.8,,525,-3837.33
2025-09-30 09:55:46,2025-09-30 09:59:20,174.15,173.75,,525,-268.33
2025-09-30 09:59:39,2025-09-30 10:01:31,176.2,188.6,,75,920.96
2025-09-30 09:59:39,2025-09-30 10:02:20,176.2,189.65,,450,5997.93
2025-09-30 10:02:30,2025-09-30 10:02:58,191.6,190,,525,-903.78
2025-09-30 10:04:23,2025-09-30 10:05:25,178.85,179.3,,525,176.06
2025-09-30 10:06:32,2025-09-30 10:07:23,168.15,179,,150,1610.33
2025-09-30 10:06:32,2025-09-30 10:07:42,168.15,172,,450,1683.01
2025-09-30 10:08:27,2025-09-30 10:09:33,167.7,159.2,,600,-5161.08
2025-09-30 10:11:24,2025-09-30 10:14:41,158.25,151.25,,600,-4258.03
2025-09-30 10:14:54,2025-09-30 10:19:00,157.7,168,,150,1528.89
2025-09-30 10:14:54,2025-09-30 10:19:22,157.7,160.8,,450,1348.73
2025-09-30 10:19:35,2025-09-30 10:20:31,164.2,156.85,,600,-4470.17
2025-09-30 10:20:35,2025-09-30 10:23:03,159.55,170.9,,150,1686.11
2025-09-30 10:20:35,2025-09-30 10:23:29,159.55,164.5,,450,2180.17
2025-09-30 10:24:33,2025-09-30 10:26:19,162.95,155.9,,600,-4289.81
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
11.75,737.75,Take Profit 1,0.63,100737.75,,
47.02,2980.97,Trailing Stop,1.55,103718.72,,
65.08,-377.67,Trailing Stop,0.67,103341.05,,
11.3,806.15,Take Profit 1,0.98,104147.21,,
55.02,1727.47,Trailing Stop,1.67,105874.67,,
59.47,-748.95,Trailing Stop,0.8,105125.73,,
62.99,-4089.73,Stop Loss,0.93,101035.99,,
9.47,854.8,Take Profit 1,1.05,101890.8,,
58.54,7780.42,Trailing Stop,2.52,109671.22,,
65.16,-4015.31,Stop Loss,0.32,105655.91,,
61.72,-490.93,Trailing Stop,2.38,105164.97,,
56.75,-3972.25,Stop Loss,1.25,101192.73,,
59.33,275.09,Trailing Stop,1.68,101467.82,,
16.69,1474.12,Take Profit 1,2.27,102941.94,,
51.36,6444.78,Trailing Stop,5.4,109386.72,,
66.66,-4693.31,Stop Loss,0.57,104693.4,,
58.74,-1351.24,Trailing Stop,1.53,103342.16,,
57.33,-3894.67,Stop Loss,1.22,99447.49,,
58.33,-326.65,Trailing Stop,3.57,99120.84,,
9.04,911.91,Take Profit 1,1.87,100032.76,,
54.57,5943.36,Trailing Stop,2.68,105976.12,,
63.78,-967.56,Trailing Stop,0.47,105008.56,,
60.19,115.87,Trailing Stop,1.03,105124.43,,
17.17,1593.16,Take Profit 1,0.85,106717.6,,
49.49,1633.52,Trailing Stop,1.17,108351.12,,
61.08,-5222.15,Stop Loss,1.1,103128.97,,
58.03,-4316.05,Stop Loss,3.28,98812.92,,
16.11,1512.77,Take Profit 1,4.1,100325.69,,
46.27,1302.47,Trailing Stop,4.47,101628.16,,
60.17,-4530.35,Stop Loss,0.93,97097.81,,
16.39,1669.72,Take Profit 1,2.47,98767.53,,
47.33,2132.84,Trailing Stop,2.9,100900.36,,
59.81,-4349.62,Stop Loss,1.77,96550.74,,
