Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L,Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding
,,,,,,,,,Starting Capital,,100000.0
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,93.0,1016.2,11.45,1004.74,Take Profit 1,0.88,101004.74
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,282.0,4011.39,35.31,3976.08,Trailing Stop,1.73,104980.82
2025-07-21 09:25:00,2025-07-21 09:25:13,212.5,222.5,,93.0,917.04,12.96,904.08,Take Profit 1,0.22,105884.89
2025-07-21 09:25:00,2025-07-21 09:26:34,212.5,223.75,,282.0,3132.97,39.53,3093.45,Trailing Stop,1.57,108978.34
2025-07-21 09:30:00,2025-07-21 09:33:11,227.6,238.3,,112.0,1181.68,16.72,1164.96,Take Profit 1,3.18,110143.31
2025-07-21 09:30:00,2025-07-21 09:34:02,227.6,234.0,,338.0,2113.66,49.54,2064.11,Trailing Stop,4.03,112207.42
2025-07-21 09:35:26,2025-07-21 09:36:11,235.45,222.75,,450.0,-5777.79,62.79,-5840.58,Stop Loss,0.75,106366.83
2025-07-21 09:40:26,2025-07-21 09:40:48,222.0,209.35,,375.0,-4792.93,49.18,-4842.11,Stop Loss,0.37,101524.73
2025-07-21 09:46:10,2025-07-21 09:47:15,190.3,178.0,,375.0,-4654.31,41.81,-4696.13,Stop Loss,1.08,96828.6
2025-07-21 09:51:20,2025-07-21 09:54:45,152.25,140.15,,375.0,-4570.42,32.92,-4603.34,Stop Loss,3.42,92225.26
2025-07-21 09:56:20,2025-07-21 10:09:17,129.05,116.95,,375.0,-4564.97,27.47,-4592.44,Stop Loss,12.95,87632.81
2025-07-21 10:09:31,2025-07-21 10:12:04,120.6,108.35,,300.0,-3695.36,20.36,-3715.72,Stop Loss,2.55,83917.09
2025-07-21 10:14:46,2025-07-21 10:25:52,121.0,119.9,,300.0,-352.53,22.53,-375.06,Trailing Stop,11.1,83542.02
