Gross P&L Total,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
-10492.79,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",12.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,75,819.51
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,300,4267.43
2025-07-21 09:21:56,2025-07-21 09:22:44,205.5,215.5,,75,739.88
2025-07-21 09:21:56,2025-07-21 09:23:53,205.5,211.6,,300,1790.23
2025-07-21 09:24:40,2025-07-21 09:25:43,214.95,227.95,,75,964.29
2025-07-21 09:24:40,2025-07-21 09:26:34,214.95,223.75,,300,2597.95
2025-07-21 09:26:53,2025-07-21 09:30:20,231,218.4,,450,-5731.56
2025-07-21 09:30:32,2025-07-21 09:33:06,226.5,237.1,,75,783.86
2025-07-21 09:30:32,2025-07-21 09:34:02,226.5,234,,300,2206.03
2025-07-21 09:36:53,2025-07-21 09:39:40,223.8,223.25,,450,-310.43
2025-07-21 09:41:08,2025-07-21 09:42:28,212.05,199.9,,375,-4603.21
2025-07-21 09:44:19,2025-07-21 09:45:52,199.05,187,,375,-4562.68
2025-07-21 09:46:45,2025-07-21 09:47:17,189.45,177.35,,375,-4579.16
2025-07-21 09:48:06,2025-07-21 09:48:59,172.25,159.35,,375,-4874.93
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
9.24,810.28,Take Profit 1,0.88,100810.28,,
37.57,4229.87,Trailing Stop,1.73,105040.14,,
10.12,729.75,Take Profit 1,0.8,105769.9,,
39.77,1750.47,Trailing Stop,1.95,107520.36,,
10.71,953.58,Take Profit 1,1.05,108473.95,,
42.05,2555.9,Trailing Stop,1.9,111029.85,,
61.56,-5793.13,Stop Loss,3.45,105236.72,,
11.14,772.72,Take Profit 1,2.57,106009.44,,
43.97,2162.05,Trailing Stop,3.5,108171.49,,
62.93,-373.36,Trailing Stop,2.78,107798.13,,
46.96,-4650.17,Stop Loss,1.33,103147.96,,
43.93,-4606.61,Stop Loss,1.55,98541.36,,
41.66,-4620.82,Stop Loss,0.53,93920.54,,
37.43,-4912.37,Stop Loss,0.88,89008.17,,
