Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,-615.02,Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,MACD Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry
"EMA Crossover, MACD","Fast EMA: 9, Slow EMA: 21","Fast: 12, Slow: 26, Signal: 9",7.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-07-21 09:20:07,2025-07-21 09:20:57,187.4,198.15,,75,796.94
2025-07-21 09:20:07,2025-07-21 09:21:44,187.4,199.9,,375,4640.54
2025-07-21 09:21:56,2025-07-21 09:22:44,205.5,215.5,,75,739.88
2025-07-21 09:21:56,2025-07-21 09:23:53,205.5,211.6,,375,2237.79
2025-07-21 09:24:40,2025-07-21 09:25:43,214.95,227.95,,75,964.29
2025-07-21 09:24:40,2025-07-21 09:26:34,214.95,223.75,,375,3247.44
2025-07-21 09:26:53,2025-07-21 09:27:24,231,223.7,,450,-3348.06
2025-07-21 09:27:59,2025-07-21 09:30:20,226.25,219.25,,450,-3211.8
2025-07-21 09:30:32,2025-07-21 09:30:57,226.5,218.25,,375,-3145.02
2025-07-21 09:31:32,2025-07-21 09:33:06,224,237.1,,75,971.36
2025-07-21 09:31:32,2025-07-21 09:34:02,224,234,,300,2956.03
2025-07-21 09:36:53,2025-07-21 09:39:40,223.8,223.25,,450,-310.43
2025-07-21 09:41:08,2025-07-21 09:42:06,212.05,204.15,,450,-3612.55
2025-07-21 09:44:19,2025-07-21 09:45:36,199.05,191.3,,450,-3541.43
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
9.31,787.63,Take Profit 1,0.83,100787.63,,
46.96,4593.58,Trailing Stop,1.62,105381.22,,
10.12,729.75,Take Profit 1,0.8,106110.97,,
49.71,2188.09,Trailing Stop,1.95,108299.05,,
10.71,953.58,Take Profit 1,1.05,109252.63,,
52.56,3194.88,Trailing Stop,1.9,112447.51,,
63.06,-3411.12,Stop Loss,0.52,109036.4,,
61.8,-3273.61,Stop Loss,2.35,105762.79,,
51.27,-3196.29,Stop Loss,0.42,102566.5,,
11.14,960.22,Take Profit 1,1.57,103526.72,,
43.97,2912.05,Trailing Stop,2.5,106438.77,,
62.93,-373.36,Trailing Stop,2.78,106065.41,,
57.55,-3670.1,Stop Loss,0.97,102395.31,,
53.93,-3595.35,Stop Loss,1.28,98799.96,,
