Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-11,302.26",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
"EMA Crossover, VWAP","Fast EMA: 9, Slow EMA: 21",7.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-07-18 11:08:05,2025-07-18 11:21:18,197.95,189.5,,450,-3855.92
2025-07-18 11:34:32,2025-07-18 11:37:29,198.4,197.4,,450,-505.64
2025-07-18 11:38:27,2025-07-18 11:44:10,201,211.9,,75,807.54
2025-07-18 11:38:27,2025-07-18 11:45:21,201,206.2,,375,1901.56
2025-07-18 11:45:49,2025-07-18 11:46:33,209,202,,375,-2672.45
2025-07-18 11:58:50,2025-07-18 12:17:25,198.7,209.1,,75,770.18
2025-07-18 11:58:50,2025-07-18 12:20:41,198.7,208.5,,375,3626.02
2025-07-18 12:24:08,2025-07-18 12:26:12,204.35,196.8,,450,-3452.98
2025-07-18 12:31:58,2025-07-18 12:39:16,198.85,198.35,,450,-280.91
2025-07-18 12:44:08,2025-07-18 12:49:36,199,196.45,,450,-1202.88
2025-07-18 12:50:40,2025-07-18 12:57:58,200.2,193.2,,450,-3204.46
2025-07-18 13:21:19,2025-07-18 13:22:17,199.3,190.8,,375,-3232.32
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
53.42,-3909.34,Stop Loss,13.22,96090.66,,
55.64,-561.29,Trailing Stop,2.95,95529.37,,
9.96,797.59,Take Profit 1,5.72,96326.96,,
48.44,1853.12,Trailing Stop,6.9,98180.09,,
47.45,-2719.9,Stop Loss,0.73,95460.19,,
9.82,760.35,Take Profit 1,18.58,96220.54,,
48.98,3577.04,Trailing Stop,21.85,99797.58,,
55.48,-3508.45,Stop Loss,2.07,96289.13,,
55.91,-336.83,Trailing Stop,7.3,95952.3,,
55.38,-1258.25,Trailing Stop,5.47,94694.05,,
54.46,-3258.92,Stop Loss,7.3,91435.13,,
44.82,-3277.14,Stop Loss,0.97,88157.99,,
