Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L,Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding
,,,,,,,,,Starting Capital,,100000.0
2025-07-18 11:08:05,2025-07-18 11:25:05,197.95,187.0,,450.0,-4980.21,52.71,-5032.93,Stop Loss,17.0,94967.07
2025-07-18 11:25:27,2025-07-18 11:35:45,191.4,201.45,,75.0,744.29,9.46,734.82,Take Profit 1,10.3,95701.89
2025-07-18 11:25:27,2025-07-18 11:37:29,191.4,197.4,,375.0,2203.63,46.37,2157.26,Trailing Stop,12.03,97859.15
2025-07-18 11:38:27,2025-07-18 11:44:10,201.0,211.9,,75.0,807.54,9.96,797.59,Take Profit 1,5.72,98656.74
2025-07-18 11:38:27,2025-07-18 11:45:21,201.0,206.2,,375.0,1901.56,48.44,1853.12,Trailing Stop,6.9,100509.87
2025-07-18 11:45:49,2025-07-18 11:49:53,209.0,199.0,,450.0,-4556.1,56.1,-4612.19,Stop Loss,4.07,95897.67
2025-07-18 11:54:01,2025-07-18 12:03:48,192.65,202.85,,75.0,755.47,9.53,745.94,Take Profit 1,9.78,96643.61
2025-07-18 11:54:01,2025-07-18 12:20:41,192.65,208.5,,375.0,5894.77,48.98,5845.79,Trailing Stop,26.67,102489.41
2025-07-18 12:24:08,2025-07-18 12:27:53,204.35,194.0,,450.0,-4712.19,54.69,-4766.87,Stop Loss,3.75,97722.53
2025-07-18 12:31:58,2025-07-18 12:39:16,198.85,198.35,,450.0,-280.91,55.91,-336.83,Trailing Stop,7.3,97385.71
2025-07-18 12:40:04,2025-07-18 12:49:36,195.6,196.45,,450.0,327.12,55.38,271.75,Trailing Stop,9.53,97657.46
2025-07-18 12:50:24,2025-07-18 12:56:47,197.7,197.4,,450.0,-190.64,55.64,-246.29,Trailing Stop,6.38,97411.17
2025-07-18 12:59:46,2025-07-18 13:00:39,195.35,184.65,,450.0,-4867.05,52.05,-4919.1,Stop Loss,0.88,92492.06
