Key,Value,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Indicators Activated,"EMA Crossover, VWAP",,,,,,,,,,
EMA Parameters,"Fast EMA: 9, Slow EMA: 21",,,,,,,,,,
SL Points,12.0,,,,,,,,,,
TP Points,"10.0, 25.0, 50.0, 100.0",,,,,,,,,,
Trailing Stop,"Enabled: True, Activation: 5.0 points, Distance: 7.0 points",,,,,,,,,,
Green Bars Required for Entry,5,,,,,,,,,,
,,,,,,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L,Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding
,,,,,,,,,Starting Capital,,100000
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,75,819.51,9.24,810.28,Take Profit 1,0.88,100810.28
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,300,4267.43,37.57,4229.87,Trailing Stop,1.73,105040.14
2025-07-21 09:25:13,2025-07-21 09:25:54,221.7,231.75,,75,742.86,10.89,731.97,Take Profit 1,0.68,105772.12
2025-07-21 09:25:13,2025-07-21 09:26:34,221.7,223.75,,300,572.95,42.05,530.9,Trailing Stop,1.35,106303.02
2025-07-21 09:28:50,2025-07-21 09:33:06,226.45,237.1,,75,787.61,11.14,776.47,Take Profit 1,4.27,107079.49
2025-07-21 09:28:50,2025-07-21 09:34:02,226.45,234,,300,2221.03,43.97,2177.05,Trailing Stop,5.2,109256.54
2025-07-21 09:36:54,2025-07-21 09:39:40,224.5,223.25,,450,-625.43,62.93,-688.36,Trailing Stop,2.77,108568.18
2025-07-21 13:52:03,2025-07-21 13:58:34,129.9,140.25,,75,769.66,6.59,763.07,Take Profit 1,6.52,109331.25
2025-07-21 13:52:03,2025-07-21 13:59:00,129.9,140,,375,3754.61,32.89,3721.73,Trailing Stop,6.95,113052.98
2025-07-21 14:00:03,2025-07-21 14:07:24,136.55,124.2,,450,-5592.51,35.01,-5627.52,Stop Loss,7.35,107425.46
