Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,177.78,Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",7.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-07-18 11:08:05,2025-07-18 11:21:18,197.95,189.5,,450,-3855.92
2025-07-18 11:25:27,2025-07-18 11:27:41,191.4,184.2,,450,-3291.92
2025-07-18 11:28:13,2025-07-18 11:34:30,186.6,196.95,,75,767
2025-07-18 11:28:13,2025-07-18 11:37:29,186.6,197.4,,375,4003.63
2025-07-18 11:38:27,2025-07-18 11:44:10,201,211.9,,75,807.54
2025-07-18 11:38:27,2025-07-18 11:45:21,201,206.2,,375,1901.56
2025-07-18 11:45:49,2025-07-18 11:46:33,209,202,,450,-3206.94
2025-07-18 11:54:01,2025-07-18 12:03:48,192.65,202.85,,75,755.47
2025-07-18 11:54:01,2025-07-18 12:20:41,192.65,208.5,,375,5894.77
2025-07-18 12:24:08,2025-07-18 12:26:12,204.35,196.8,,450,-3452.98
2025-07-18 12:31:58,2025-07-18 12:39:16,198.85,198.35,,450,-280.91
2025-07-18 12:40:04,2025-07-18 12:49:36,195.6,196.45,,450,327.12
2025-07-18 12:50:24,2025-07-18 12:56:47,197.7,197.4,,450,-190.64
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
53.42,-3909.34,Stop Loss,13.22,96090.66,,
51.92,-3343.85,Stop Loss,2.23,92746.82,,
9.25,757.74,Take Profit 1,6.28,93504.56,,
46.37,3957.26,Trailing Stop,9.27,97461.82,,
9.96,797.59,Take Profit 1,5.72,98259.41,,
48.44,1853.12,Trailing Stop,6.9,100112.53,,
56.94,-3263.88,Stop Loss,0.73,96848.65,,
9.53,745.94,Take Profit 1,9.78,97594.59,,
48.98,5845.79,Trailing Stop,26.67,103440.38,,
55.48,-3508.45,Stop Loss,2.07,99931.93,,
55.91,-336.83,Trailing Stop,7.3,99595.11,,
55.38,271.75,Trailing Stop,9.53,99866.85,,
55.64,-246.29,Trailing Stop,6.38,99620.56,,
