Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"7,178.53",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",7.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 5.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-08-22 09:20:00,2025-08-22 09:20:21,213.4,223.95,,75,780.73
2025-08-22 09:20:00,2025-08-22 09:20:56,213.4,222.3,,300,2628.22
2025-08-22 09:21:34,2025-08-22 09:22:37,229.2,221.4,,375,-2977.01
2025-08-22 09:23:32,2025-08-22 09:25:06,222.75,233.55,,75,799.03
2025-08-22 09:23:32,2025-08-22 09:25:14,222.75,228.35,,300,1637.09
2025-08-22 09:25:28,2025-08-22 09:29:57,231.1,241.6,,75,776.15
2025-08-22 09:25:28,2025-08-22 09:31:08,231.1,257.35,,75,1956.66
2025-08-22 09:25:28,2025-08-22 09:32:11,231.1,265.85,,225,7781.28
2025-08-22 09:33:28,2025-08-22 09:34:39,267.2,259.8,,375,-2836.03
2025-08-22 09:35:40,2025-08-22 09:36:28,256.9,259.35,,375,857.83
2025-08-22 09:37:46,2025-08-22 09:40:42,262.65,255,,375,-2928.65
2025-08-22 09:42:25,2025-08-22 09:44:33,256.55,249.25,,375,-2796.05
2025-08-22 09:46:58,2025-08-22 09:50:36,251.7,262,,75,760.19
2025-08-22 09:46:58,2025-08-22 09:51:39,251.7,264.4,,300,3760.31
2025-08-22 09:52:36,2025-08-22 09:53:14,257.85,249.95,,375,-3021.22
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
10.52,770.21,Take Profit 1,0.35,100770.21,,
41.78,2586.45,Trailing Stop,0.93,103356.66,,
52.01,-3029.02,Stop Loss,1.05,100327.64,,
10.97,788.05,Take Profit 1,1.57,101115.69,,
42.91,1594.17,Trailing Stop,1.7,102709.87,,
11.35,764.8,Take Profit 1,4.48,103474.67,,
12.09,1944.57,Take Profit 2,5.67,105419.23,,
37.47,7743.81,Trailing Stop,6.72,113163.04,,
61.03,-2897.06,Stop Loss,1.18,110265.99,,
60.92,796.9,Trailing Stop,0.8,111062.89,,
59.9,-2988.55,Stop Loss,2.93,108074.34,,
58.55,-2854.6,Stop Loss,2.13,105219.74,,
12.31,747.88,Take Profit 1,3.63,105967.62,,
49.69,3710.62,Trailing Stop,4.68,109678.24,,
58.72,-3079.93,Stop Loss,0.63,106598.31,,
