Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L,Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding
,,,,,,,,,Starting Capital,,100000.0
2025-07-18 11:08:05,2025-07-18 11:27:18,197.95,185.95,,375.0,-4543.68,43.68,-4587.36,Stop Loss,19.22,95412.64
2025-07-18 11:28:13,2025-07-18 11:34:30,186.6,196.95,,75.0,767.0,9.25,757.74,Take Profit 1,6.28,96170.38
2025-07-18 11:28:13,2025-07-18 11:37:29,186.6,197.4,,300.0,3202.9,37.1,3165.81,Trailing Stop,9.27,99336.19
2025-07-18 11:38:27,2025-07-18 11:44:10,201.0,211.9,,75.0,807.54,9.96,797.59,Take Profit 1,5.72,100133.78
2025-07-18 11:38:27,2025-07-18 11:45:21,201.0,206.2,,300.0,1521.25,38.75,1482.5,Trailing Stop,6.9,101616.28
2025-07-18 11:45:49,2025-07-18 11:50:09,209.0,197.0,,375.0,-4546.28,46.28,-4592.55,Stop Loss,4.33,97023.72
2025-07-18 11:54:01,2025-07-18 12:03:48,192.65,202.85,,75.0,755.47,9.53,745.94,Take Profit 1,9.78,97769.66
2025-07-18 11:54:01,2025-07-18 12:20:41,192.65,208.5,,300.0,4715.82,39.18,4676.63,Trailing Stop,26.67,102446.3
2025-07-18 12:24:08,2025-07-18 12:39:44,204.35,192.2,,375.0,-4601.4,45.15,-4646.55,Stop Loss,15.6,97799.75
2025-07-18 12:40:04,2025-07-18 12:49:36,195.6,196.45,,375.0,272.6,46.15,226.45,Trailing Stop,9.53,98026.2
2025-07-18 12:50:24,2025-07-18 12:56:47,197.7,197.4,,375.0,-158.87,46.37,-205.24,Trailing Stop,6.38,97820.96
2025-07-18 12:59:46,2025-07-18 13:00:54,195.35,182.8,,375.0,-4749.19,42.94,-4792.13,Stop Loss,1.13,93028.83
2025-07-18 13:01:55,2025-07-18 13:06:01,180.6,190.65,,75.0,744.79,8.96,735.84,Take Profit 1,4.1,93764.67
2025-07-18 13:01:55,2025-07-18 13:22:17,180.6,190.8,,300.0,3024.14,35.86,2988.29,Trailing Stop,20.37,96752.95
