Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-6,301.25",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
"EMA Crossover, VWAP","Fast EMA: 9, Slow EMA: 21",5.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",5,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,75,819.51
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,375,5334.29
2025-07-21 09:25:13,2025-07-21 09:25:54,221.7,231.75,,75,742.86
2025-07-21 09:25:13,2025-07-21 09:26:34,221.7,223.75,,375,716.19
2025-07-21 09:28:50,2025-07-21 09:30:19,226.45,219.7,,450,-3099.43
2025-07-21 09:32:12,2025-07-21 09:33:08,227.35,237.55,,75,753.84
2025-07-21 09:32:12,2025-07-21 09:34:02,227.35,234,,300,1951.03
2025-07-21 09:36:54,2025-07-21 09:37:40,224.5,219.05,,450,-2514.25
2025-07-21 09:39:11,2025-07-21 09:39:40,229.65,224.65,,375,-1927.77
2025-07-21 13:52:03,2025-07-21 13:53:40,129.9,123.65,,750,-4745.59
2025-07-21 13:58:34,2025-07-21 13:59:00,141.7,140,,600,-1072.62
2025-07-21 14:00:03,2025-07-21 14:03:25,136.55,131.2,,600,-3259.31
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
9.24,810.28,Take Profit 1,0.88,100810.28,,
46.96,5287.33,Trailing Stop,1.73,106097.61,,
10.89,731.97,Take Profit 1,0.68,106829.58,,
52.56,663.63,Trailing Stop,1.35,107493.21,,
61.93,-3161.36,Stop Loss,1.48,104331.85,,
11.16,742.68,Take Profit 1,0.93,105074.53,,
43.97,1907.05,Trailing Stop,1.83,106981.58,,
61.75,-2576,Stop Loss,0.77,104405.59,,
52.77,-1980.54,Stop Loss,0.48,102425.04,,
58.09,-4803.69,Stop Loss,1.62,97621.36,,
52.62,-1125.24,Trailing Stop,0.43,96496.12,,
49.31,-3308.62,Stop Loss,3.37,93187.49,,
