Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"10,397.38",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",12.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",5,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-09-30 09:20:22,2025-09-30 09:21:01,238.45,248.95,,75,775.56
2025-09-30 09:20:22,2025-09-30 09:21:50,238.45,245.1,,300,1947.98
2025-09-30 09:24:44,2025-09-30 09:25:40,226,236,,75,738.68
2025-09-30 09:24:44,2025-09-30 09:26:21,226,229.45,,375,1238.73
2025-09-30 09:30:15,2025-09-30 09:30:55,197.6,184.15,,525,-7123.07
2025-09-30 09:32:36,2025-09-30 09:33:46,193.85,204.2,,75,766.46
2025-09-30 09:32:36,2025-09-30 09:34:11,193.85,203.45,,375,3551.22
2025-09-30 09:35:09,2025-09-30 09:36:03,196.3,183.8,,450,-5677.88
2025-09-30 09:40:05,2025-09-30 09:41:46,178.15,165.25,,525,-6827.97
2025-09-30 09:43:07,2025-09-30 09:44:22,175.8,176.75,,450,376.64
2025-09-30 09:45:34,2025-09-30 09:48:30,165.85,176.75,,75,809.02
2025-09-30 09:45:34,2025-09-30 09:50:56,165.85,178.5,,450,5641.14
2025-09-30 09:51:01,2025-09-30 09:56:01,181.35,168.95,,525,-6566.71
2025-09-30 09:56:08,2025-09-30 09:59:20,172.65,173.75,,450,445.01
2025-09-30 09:59:52,2025-09-30 10:01:34,179.45,189.9,,75,774.64
2025-09-30 09:59:52,2025-09-30 10:02:20,179.45,189.65,,375,3779.53
2025-09-30 10:04:07,2025-09-30 10:05:06,175.85,186,,75,752.33
2025-09-30 10:04:07,2025-09-30 10:05:25,175.85,179.3,,450,1500.91
2025-09-30 10:07:05,2025-09-30 10:07:42,172.15,172,,525,-136.49
2025-09-30 10:18:22,2025-09-30 10:19:22,160.55,160.8,,525,77.27
2025-09-30 10:20:54,2025-09-30 10:23:05,161.25,171.55,,75,764.27
2025-09-30 10:20:54,2025-09-30 10:23:29,161.25,164.5,,450,1415.17
2025-09-30 10:33:24,2025-09-30 10:36:21,143.25,129.8,,675,-9134.77
2025-09-30 10:42:11,2025-09-30 10:43:10,126,136.3,,150,1531.93
2025-09-30 10:42:11,2025-09-30 10:44:27,126,130.85,,525,2502.33
2025-09-30 10:50:13,2025-09-30 10:53:38,130.2,140.55,,150,1539.02
2025-09-30 10:50:13,2025-09-30 10:55:50,130.2,156.15,,150,3877.52
2025-09-30 10:50:13,2025-09-30 10:56:15,130.2,159.1,,375,10799.35
2025-09-30 11:00:28,2025-09-30 11:00:38,155.45,166.05,,150,1574.07
2025-09-30 11:00:28,2025-09-30 11:00:53,155.45,165.7,,525,5325.63
2025-09-30 11:01:51,2025-09-30 11:06:16,172.3,182.75,,150,1549.97
2025-09-30 11:01:51,2025-09-30 11:07:03,172.3,175.9,,525,1830.95
2025-09-30 11:11:29,2025-09-30 11:16:16,185,173,,600,-7266.37
2025-09-30 11:16:29,2025-09-30 11:20:16,176.45,189.9,,150,1999.29
2025-09-30 11:16:29,2025-09-30 11:20:41,176.45,202.9,,150,3948.04
2025-09-30 11:16:29,2025-09-30 11:20:51,176.45,196.45,,300,5962.32
2025-09-30 11:22:03,2025-09-30 11:22:34,186.45,171.9,,600,-8795.95
2025-09-30 11:23:30,2025-09-30 11:25:30,161.9,148.55,,675,-9075.36
2025-09-30 11:28:39,2025-09-30 11:30:06,158.85,169.1,,150,1521.28
2025-09-30 11:28:39,2025-09-30 11:30:52,158.85,162.7,,450,1685.69
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
11.94,763.62,Take Profit 1,0.65,100763.62,,
47.02,1900.97,Trailing Stop,1.47,102664.59,,
11.32,727.37,Take Profit 1,0.93,103391.96,,
55.02,1183.72,Trailing Stop,1.62,104575.68,,
61.82,-7184.88,Stop Loss,0.67,97390.79,,
9.79,756.67,Take Profit 1,1.17,98147.46,,
48.78,3502.44,Trailing Stop,1.58,101649.89,,
52.88,-5730.77,Stop Loss,0.9,95919.12,,
55.47,-6883.44,Stop Loss,1.68,89035.68,,
50.86,325.79,Trailing Stop,1.25,89361.47,,
8.48,800.55,Take Profit 1,2.93,90162.02,,
51.36,5589.78,Trailing Stop,5.37,95751.8,,
56.71,-6623.43,Stop Loss,5,89128.37,,
49.99,395.01,Trailing Stop,3.2,89523.38,,
9.11,765.54,Take Profit 1,1.7,90288.92,,
45.47,3734.05,Trailing Stop,2.47,94022.97,,
8.92,743.41,Take Profit 1,0.98,94766.38,,
51.59,1449.32,Trailing Stop,1.3,96215.7,,
57.74,-194.23,Trailing Stop,0.62,96021.48,,
53.98,23.29,Trailing Stop,1,96044.77,,
8.23,756.05,Take Profit 1,2.18,96800.82,,
47.33,1367.84,Trailing Stop,2.58,98168.65,,
56.02,-9190.79,Stop Loss,2.95,88977.86,,
13.07,1518.85,Take Profit 1,0.98,90496.72,,
43.92,2458.4,Trailing Stop,2.27,92955.12,,
13.48,1525.54,Take Profit 1,3.42,94480.66,,
14.98,3862.55,Take Profit 2,5.62,98343.21,,
38.15,10761.2,Trailing Stop,6.03,109104.41,,
15.93,1558.15,Take Profit 1,0.17,110662.56,,
55.62,5270,Trailing Stop,0.42,115932.56,,
17.53,1532.44,Take Profit 1,4.42,117465.01,,
59.05,1771.91,Trailing Stop,5.2,119236.91,,
66.37,-7332.74,Stop Loss,4.78,111904.17,,
18.21,1981.07,Take Profit 1,3.78,113885.25,,
19.46,3928.58,Take Profit 2,4.2,117813.83,,
37.68,5924.63,Trailing Stop,4.37,123738.46,,
65.95,-8861.9,Stop Loss,0.52,114876.56,,
64.11,-9139.48,Stop Loss,2,105737.09,,
16.22,1505.06,Take Profit 1,1.45,107242.15,,
