Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,-886.20,Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",12.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",5,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-09-30 09:21:39,2025-09-30 09:22:34,251.9,239.9,,375,-4557.52
2025-09-30 09:24:29,2025-09-30 09:25:37,222.9,233.1,,75,753.82
2025-09-30 09:24:29,2025-09-30 09:26:21,222.9,229.45,,300,1920.99
2025-09-30 09:28:35,2025-09-30 09:29:08,214.25,200.7,,450,-6155.25
2025-09-30 09:30:15,2025-09-30 09:30:55,197.6,184.15,,450,-6105.49
2025-09-30 09:31:40,2025-09-30 09:32:43,185.9,197.55,,75,864.28
2025-09-30 09:31:40,2025-09-30 09:34:11,185.9,203.45,,375,6532.47
2025-09-30 09:34:38,2025-09-30 09:35:49,201.5,188.05,,450,-6106.61
2025-09-30 09:38:33,2025-09-30 09:39:18,191.05,179,,450,-5474
2025-09-30 09:40:05,2025-09-30 09:41:46,178.15,165.25,,450,-5852.55
2025-09-30 09:43:08,2025-09-30 09:44:22,176,176.75,,375,238.87
2025-09-30 09:45:33,2025-09-30 09:48:29,165.2,175.45,,75,760.34
2025-09-30 09:45:33,2025-09-30 09:50:56,165.2,178.5,,375,4944.7
2025-09-30 09:51:01,2025-09-30 09:56:01,181.35,168.95,,375,-4690.51
2025-09-30 09:56:08,2025-09-30 09:59:20,172.65,173.75,,375,370.84
2025-09-30 09:59:52,2025-09-30 10:01:34,179.45,189.9,,75,774.64
2025-09-30 09:59:52,2025-09-30 10:02:20,179.45,189.65,,300,3023.62
2025-09-30 10:02:30,2025-09-30 10:02:58,191.6,190,,375,-645.56
2025-09-30 10:04:31,2025-09-30 10:05:25,180.35,179.3,,375,-436.74
2025-09-30 10:06:33,2025-09-30 10:07:26,169.4,179.45,,75,745.14
2025-09-30 10:06:33,2025-09-30 10:07:42,169.4,172,,375,933.76
2025-09-30 10:11:25,2025-09-30 10:19:22,159.35,160.8,,450,606.23
2025-09-30 10:20:54,2025-09-30 10:23:05,161.25,171.55,,75,764.27
2025-09-30 10:20:54,2025-09-30 10:23:29,161.25,164.5,,375,1179.31
2025-09-30 10:27:37,2025-09-30 10:36:21,142.75,129.8,,525,-6842.32
2025-09-30 10:37:33,2025-09-30 10:42:43,120.3,131,,150,1592.44
2025-09-30 10:37:33,2025-09-30 10:44:27,120.3,130.85,,450,4709.85
2025-09-30 10:44:51,2025-09-30 10:49:56,136.2,124.1,,600,-7307.61
2025-09-30 10:50:39,2025-09-30 10:54:15,131.95,141.95,,75,743.19
2025-09-30 10:50:39,2025-09-30 10:55:53,131.95,158.5,,75,1983.65
2025-09-30 10:50:39,2025-09-30 10:56:15,131.95,159.1,,375,10143.1
2025-09-30 11:00:28,2025-09-30 11:00:38,155.45,166.05,,75,787.04
2025-09-30 11:00:28,2025-09-30 11:00:53,155.45,165.7,,450,4564.82
2025-09-30 11:03:25,2025-09-30 11:07:03,173.85,175.9,,525,1017.2
2025-09-30 11:08:41,2025-09-30 11:11:01,173.35,185.3,,75,887.36
2025-09-30 11:08:41,2025-09-30 11:11:43,173.35,178.9,,450,2446.03
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
57.52,-4615.04,Stop Loss,0.92,95384.96,,
11.18,742.64,Take Profit 1,1.13,96127.6,,
44.01,1876.97,Trailing Stop,1.87,98004.57,,
57.75,-6212.99,Stop Loss,0.55,91791.58,,
52.99,-6158.47,Stop Loss,0.67,85633.11,,
9.47,854.8,Take Profit 1,1.05,86487.91,,
48.78,6483.69,Trailing Stop,2.52,92971.6,,
54.11,-6160.72,Stop Loss,1.18,86810.88,,
51.5,-5525.51,Stop Loss,0.75,81285.37,,
47.55,-5900.09,Stop Loss,1.68,75385.28,,
42.38,196.49,Trailing Stop,1.23,75581.77,,
8.41,751.92,Take Profit 1,2.93,76333.69,,
42.8,4901.9,Trailing Stop,5.38,81235.59,,
40.51,-4731.02,Stop Loss,5,76504.57,,
41.66,329.18,Trailing Stop,3.2,76833.75,,
9.11,765.54,Take Profit 1,1.7,77599.29,,
36.38,2987.24,Trailing Stop,2.47,80586.53,,
45.56,-691.11,Trailing Stop,0.47,79895.41,,
42.99,-479.73,Trailing Stop,0.9,79415.68,,
8.61,736.54,Take Profit 1,0.88,80152.22,,
41.24,892.52,Trailing Stop,1.15,81044.74,,
46.27,559.97,Trailing Stop,7.95,81604.7,,
8.23,756.05,Take Profit 1,2.18,82360.75,,
39.44,1139.86,Trailing Stop,2.58,83500.61,,
43.57,-6885.89,Stop Loss,8.73,76614.72,,
12.56,1579.87,Take Profit 1,5.17,78194.59,,
37.65,4672.2,Trailing Stop,6.9,82866.79,,
47.61,-7355.22,Stop Loss,5.08,75511.57,,
6.81,736.39,Take Profit 1,3.6,76247.96,,
7.6,1976.05,Take Profit 2,5.23,78224.01,,
38.15,10104.95,Trailing Stop,5.6,88328.96,,
7.96,779.07,Take Profit 1,0.17,89108.03,,
47.68,4517.15,Trailing Stop,0.42,93625.18,,
59.05,958.16,Trailing Stop,3.63,94583.34,,
8.89,878.48,Take Profit 1,2.33,95461.81,,
51.47,2394.55,Trailing Stop,3.03,97856.37,,
