Entry Time,Exit Time,Entry Price,Exit Price,Quantity,Gross P&L,Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding
,,,,,,,,Starting Capital,,100000.0
2025-07-18 11:08:05,2025-07-18 11:15:38,197.95,192.0,479.0,-2907.66,57.61,-2965.27,Stop Loss,7.55,97034.73
2025-07-18 11:16:02,2025-07-18 11:21:18,195.15,189.5,472.0,-2722.83,56.03,-2778.86,Stop Loss,5.27,94255.87
2025-07-18 11:21:29,2025-07-18 11:24:46,193.3,188.3,463.0,-2369.61,54.61,-2424.23,Stop Loss,3.28,91831.64
2025-07-18 11:26:29,2025-07-18 11:27:28,190.0,184.65,459.0,-2508.74,53.09,-2561.83,Stop Loss,0.98,89269.81
2025-07-18 11:31:29,2025-07-18 11:34:57,189.1,199.85,112.0,1189.98,14.02,1175.96,Take Profit 1,3.47,90445.77
2025-07-18 11:31:29,2025-07-18 11:37:29,189.1,197.4,336.0,2747.25,41.55,2705.7,Trailing Stop,6.0,93151.47
2025-07-18 11:37:45,2025-07-18 11:44:05,199.0,209.2,111.0,1117.65,14.55,1103.11,Take Profit 1,6.33,94254.58
2025-07-18 11:37:45,2025-07-18 11:45:21,199.0,206.2,334.0,2361.66,43.14,2318.52,Trailing Stop,7.6,96573.09
2025-07-18 11:45:47,2025-07-18 11:46:30,207.9,202.15,441.0,-2591.59,55.84,-2647.44,Stop Loss,0.72,93925.66
2025-07-18 11:50:47,2025-07-18 11:52:28,197.2,191.9,453.0,-2455.36,54.46,-2509.81,Stop Loss,1.68,91415.85
2025-07-18 11:56:03,2025-07-18 12:12:05,193.15,203.6,112.0,1156.12,14.28,1141.83,Take Profit 1,16.03,92557.68
2025-07-18 11:56:03,2025-07-18 12:20:41,193.15,208.5,338.0,5144.15,44.15,5100.01,Trailing Stop,24.63,97657.69
2025-07-18 12:21:31,2025-07-18 12:22:36,206.0,200.55,451.0,-2514.61,56.66,-2571.27,Stop Loss,1.08,95086.42
