Key,Value,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Indicators Activated,EMA Crossover,,,,,,,,,,
EMA Parameters,"Fast EMA: 9, Slow EMA: 21",,,,,,,,,,
SL Points,12.0,,,,,,,,,,
TP Points,"10.0, 25.0, 50.0, 100.0",,,,,,,,,,
Trailing Stop,"Enabled: True, Activation: 5.0 points, Distance: 7.0 points",,,,,,,,,,
Green Bars Required for Entry,7,,,,,,,,,,
Excel Color Info,"Rows with positive Gross P&L are highlighted green, negative red.",,,,,,,,,,
,,,,,,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L,Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding
,,,,,,,,,Starting Capital,,100000
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,75,819.51,9.24,810.28,Take Profit 1,0.88,100810.28
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,300,4267.43,37.57,4229.87,Trailing Stop,1.73,105040.14
2025-07-21 09:52:24,2025-07-21 09:54:46,150.4,137.1,,375,-5019.71,32.21,-5051.91,Stop Loss,2.37,99988.23
2025-07-21 10:17:55,2025-07-21 10:25:52,120.2,119.9,,375,-140.67,28.17,-168.83,Trailing Stop,7.95,99819.4
2025-07-21 11:10:59,2025-07-21 11:34:20,109.55,107.55,,375,-775.26,25.26,-800.53,Trailing Stop,23.35,99018.87
2025-07-21 13:00:39,2025-07-21 13:51:18,117.1,127.65,,75,785.25,6,779.26,Take Profit 1,50.65,99798.13
2025-07-21 13:00:39,2025-07-21 13:58:36,117.1,142.3,,75,1883.31,6.69,1876.63,Take Profit 2,57.95,101674.76
2025-07-21 13:00:39,2025-07-21 13:59:00,117.1,140,,225,5132.77,19.73,5113.04,Trailing Stop,58.35,106787.79
