Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-9,372.33",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,MACD Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry
"EMA Crossover, MACD, VWAP, ATR","Fast EMA: 9, Slow EMA: 21","Fast: 12, Slow: 26, Signal: 9",10.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-09-30 09:20:17,2025-09-30 09:20:55,234.85,245,,75,749.5
2025-09-30 09:20:17,2025-09-30 09:21:50,234.85,245.1,,300,3027.98
2025-09-30 09:26:17,2025-09-30 09:26:51,233.55,223.25,,375,-3916.03
2025-09-30 10:01:46,2025-09-30 10:03:07,195,183.3,,450,-5317.74
2025-09-30 11:00:41,2025-09-30 11:06:16,171.65,182.75,,75,823.74
2025-09-30 11:00:41,2025-09-30 11:07:03,171.65,175.9,,450,1861.89
2025-09-30 11:07:56,2025-09-30 11:11:00,172,182.7,,75,793.74
2025-09-30 11:07:56,2025-09-30 11:11:43,172,178.9,,450,3053.53
2025-09-30 11:12:15,2025-09-30 11:14:49,177.9,177.95,,525,-33.49
2025-09-30 11:15:51,2025-09-30 11:18:12,177.6,167.4,,525,-5411.19
2025-09-30 11:18:17,2025-09-30 11:19:29,171.95,184.3,,75,917.41
2025-09-30 11:18:17,2025-09-30 11:20:26,171.95,197.65,,75,1918.02
2025-09-30 11:18:17,2025-09-30 11:20:51,171.95,196.45,,375,9140.4
2025-09-30 11:31:35,2025-09-30 11:31:51,171.55,171.25,,600,-245.7
2025-09-30 11:32:03,2025-09-30 11:36:02,176.55,186.75,,150,1512.09
2025-09-30 11:32:03,2025-09-30 11:36:50,176.55,184.5,,450,3524.41
2025-09-30 11:37:28,2025-09-30 11:39:51,181.6,171.45,,600,-6155.78
2025-09-30 11:40:12,2025-09-30 11:40:58,172.5,162.35,,600,-6152.28
2025-09-30 12:05:28,2025-09-30 12:06:30,169,168.55,,525,-292.83
2025-09-30 12:17:07,2025-09-30 12:17:36,170.9,171.4,,525,204.96
2025-09-30 12:17:56,2025-09-30 12:19:27,171.25,171.6,,525,126.15
2025-09-30 12:19:30,2025-09-30 12:20:43,174.15,172.45,,525,-950.39
2025-09-30 12:20:48,2025-09-30 12:22:04,176.2,186.95,,75,797.28
2025-09-30 12:20:48,2025-09-30 12:22:28,176.2,188.65,,450,5548.22
2025-09-30 12:23:00,2025-09-30 12:25:40,186.5,175.2,,525,-5991.31
2025-09-30 12:26:25,2025-09-30 12:28:02,183.8,185.1,,525,620.36
2025-09-30 12:28:48,2025-09-30 12:32:38,186.9,196.9,,75,740.56
2025-09-30 12:28:48,2025-09-30 12:33:08,186.9,195.7,,450,3903.69
2025-09-30 12:34:13,2025-09-30 12:35:49,187.55,185.75,,525,-1007.35
2025-09-30 12:36:52,2025-09-30 12:38:01,188.35,176.3,,525,-6385.43
2025-09-30 12:38:33,2025-09-30 12:39:22,175.8,185.85,,75,744.84
2025-09-30 12:38:33,2025-09-30 12:40:08,175.8,183.25,,450,3299.77
2025-09-30 12:41:13,2025-09-30 12:43:56,178.1,167.8,,525,-5463.83
2025-09-30 12:44:52,2025-09-30 12:49:51,174,163.9,,525,-5357.52
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
11.75,737.75,Take Profit 1,0.63,100737.75,,
47.02,2980.97,Trailing Stop,1.55,103718.72,,
53.53,-3969.56,Stop Loss,0.57,99749.16,,
52.74,-5370.48,Stop Loss,1.35,94378.68,,
8.76,814.97,Take Profit 1,5.58,95193.65,,
50.61,1811.28,Trailing Stop,6.37,97004.93,,
8.76,784.98,Take Profit 1,3.07,97789.91,,
51.47,3002.05,Trailing Stop,3.78,100791.96,,
59.74,-93.22,Trailing Stop,2.57,100698.74,,
56.19,-5467.39,Stop Loss,2.35,95231.35,,
8.84,908.57,Take Profit 1,1.2,96139.92,,
9.48,1908.54,Take Profit 2,2.15,98048.47,,
47.1,9093.29,Trailing Stop,2.57,107141.76,,
65.7,-311.4,Trailing Stop,0.27,106830.36,,
17.91,1494.18,Take Profit 1,3.98,108324.54,,
53.09,3471.33,Trailing Stop,4.78,111795.87,,
65.78,-6221.55,Stop Loss,2.38,105574.32,,
62.28,-6214.57,Stop Loss,0.77,99359.75,,
56.58,-349.41,Trailing Stop,1.03,99010.34,,
57.54,147.43,Trailing Stop,0.48,99157.77,,
57.6,68.54,Trailing Stop,1.52,99226.31,,
57.89,-1008.28,Trailing Stop,1.22,98218.03,,
8.97,788.32,Take Profit 1,1.27,99006.35,,
54.28,5493.94,Trailing Stop,1.67,104500.29,,
58.81,-6050.12,Stop Loss,2.67,98450.17,,
62.14,558.23,Trailing Stop,1.62,99008.4,,
9.44,731.12,Take Profit 1,3.83,99739.51,,
56.31,3847.38,Trailing Stop,4.33,103586.89,,
62.35,-1069.71,Trailing Stop,1.6,102517.19,,
59.18,-6444.61,Stop Loss,1.15,96072.58,,
8.91,735.93,Take Profit 1,0.82,96808.5,,
52.73,3247.05,Trailing Stop,1.58,100055.55,,
56.33,-5520.16,Stop Loss,2.72,94535.39,,
55.02,-5412.54,Stop Loss,4.98,89122.85,,
