Gross P&L Total,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
1683.379999999999,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",12.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-07-21 09:20:36,2025-07-21 09:21:02,217.1,205,,375,-4585.66
2025-07-21 09:21:26,2025-07-21 09:22:40,205.8,193.4,,375,-4695.43
2025-07-21 09:23:52,2025-07-21 09:25:43,196,181.7,,375,-5405.18
2025-07-21 09:26:02,2025-07-21 09:33:06,184.15,171.5,,300,-3827.23
2025-07-21 09:33:28,2025-07-21 09:36:15,171.55,181.9,,75,767.7
2025-07-21 09:33:28,2025-07-21 09:39:09,171.55,179.35,,225,1729.72
2025-07-21 09:39:23,2025-07-21 09:40:43,180.8,192.3,,75,853.47
2025-07-21 09:39:23,2025-07-21 09:42:32,180.8,206.25,,75,1899.06
2025-07-21 09:39:23,2025-07-21 09:45:08,180.8,200.8,,150,2981.13
2025-07-21 09:45:28,2025-07-21 09:45:53,206.7,217.6,,75,807.28
2025-07-21 09:45:28,2025-07-21 09:47:31,206.7,234,,75,2036.51
2025-07-21 09:45:28,2025-07-21 09:48:06,206.7,238.6,,150,4762.58
2025-07-21 09:48:18,2025-07-21 09:48:49,244.15,254.6,,75,771.79
2025-07-21 09:48:18,2025-07-21 09:49:21,244.15,253.3,,300,2697.4
2025-07-21 09:49:58,2025-07-21 09:50:51,263.35,264.9,,300,415.22
2025-07-21 09:52:03,2025-07-21 09:53:04,264.2,265.95,,300,475.02
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
48.16,-4633.81,Stop Loss,0.43,95366.19,,
45.43,-4740.86,Stop Loss,1.23,90625.33,,
42.68,-5447.87,Stop Loss,1.85,85177.46,,
32.23,-3859.46,Stop Loss,7.07,81318,,
8.55,759.16,Take Profit 1,2.78,82077.16,,
25.28,1704.44,Trailing Stop,5.68,83781.6,,
9.03,844.43,Take Profit 1,1.33,84626.03,,
9.69,1889.37,Take Profit 2,3.15,86515.4,,
18.87,2962.26,Trailing Stop,5.75,89477.67,,
10.22,797.05,Take Profit 1,0.42,90274.72,,
10.99,2025.51,Take Profit 2,2.05,92300.23,,
22.42,4740.16,Trailing Stop,2.63,97040.4,,
11.96,759.83,Take Profit 1,0.52,97800.22,,
47.6,2649.8,Trailing Stop,1.05,100450.02,,
49.78,365.44,Trailing Stop,0.88,100815.46,,
49.98,425.04,Trailing Stop,1.02,101240.5,,
