Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"1,977.23",Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Indicators Activated,EMA Parameters,MACD Parameters,HTF Trend Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry
"EMA Crossover, MACD, HTF Trend","Fast EMA: 9, Slow EMA: 21","Fast: 12, Slow: 26, Signal: 9",HTF Period: 20,5.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3
,,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L,
,,,,,,,
2025-08-13 09:20:00,2025-08-13 09:20:59,129.7,124.6,,675,-3495.19,
2025-08-13 09:21:27,2025-08-13 09:22:42,127.55,121.15,,675,-4371.23,
2025-08-13 09:22:51,2025-08-13 09:23:25,125.6,120.2,,675,-3695.82,
2025-08-13 09:24:32,2025-08-13 09:25:14,124.55,135.8,,150,1674.74,
2025-08-13 09:24:32,2025-08-13 09:25:38,124.55,129.5,,450,2191,
2025-08-13 09:26:14,2025-08-13 09:27:42,125.65,120.5,,675,-3527.2,
2025-08-13 09:29:04,2025-08-13 09:32:25,123.4,122.75,,675,-490.65,
2025-08-13 09:33:26,2025-08-13 09:35:09,115.6,125.9,,150,1533.17,
2025-08-13 09:33:26,2025-08-13 09:40:16,115.6,140.7,,150,3751.78,
2025-08-13 09:33:26,2025-08-13 09:42:32,115.6,138.9,,375,8704.87,
2025-08-13 09:42:40,2025-08-13 09:44:47,143,137.05,,675,-4074.2,
2025-08-13 09:45:11,2025-08-13 09:47:10,140.3,138.95,,600,-862.22,
2025-08-13 09:47:23,2025-08-13 09:48:32,143.35,153.95,,150,1575.53,
2025-08-13 09:47:23,2025-08-13 09:51:03,143.35,150.25,,450,3062.65,
,,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,,
,,Starting Capital,,100000,,,
52.69,-3547.87,Stop Loss,0.98,96452.13,,,
51.23,-4422.45,Stop Loss,1.25,92029.68,,,
50.82,-3746.65,Stop Loss,0.57,88283.03,,,
12.76,1661.98,Take Profit 1,0.7,89945.01,,,
36.5,2154.49,Trailing Stop,1.1,92099.5,,,
50.95,-3578.15,Stop Loss,1.47,88521.35,,,
51.9,-542.56,Trailing Stop,3.35,87978.79,,,
11.83,1521.34,Take Profit 1,1.72,89500.13,,,
13.22,3738.56,Take Profit 2,6.83,93238.69,,,
32.63,8672.24,Trailing Stop,9.1,101910.93,,,
57.95,-4132.15,Stop Loss,2.12,97778.78,,,
52.22,-914.45,Trailing Stop,1.98,96864.33,,,
14.47,1561.07,Take Profit 1,1.15,98425.4,,,
42.35,3020.29,Trailing Stop,3.67,101445.69,,,
