Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-13,760.35",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",7.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-08-29 10:53:23,2025-08-29 10:55:34,140.1,132.7,,675,-5051.11
2025-08-29 10:56:12,2025-08-29 11:03:31,131.6,142.15,,150,1569.14
2025-08-29 10:56:12,2025-08-29 11:06:59,131.6,140.65,,525,4704.99
2025-08-29 11:08:01,2025-08-29 11:12:13,138.5,149.3,,150,1605.97
2025-08-29 11:08:01,2025-08-29 11:14:18,138.5,147.1,,525,4466.62
2025-08-29 11:14:53,2025-08-29 11:16:08,146.9,139.5,,675,-5053.99
2025-08-29 11:17:11,2025-08-29 11:21:06,146.1,139,,600,-4312.24
2025-08-29 11:21:45,2025-08-29 11:30:47,139.55,149.7,,150,1508.43
2025-08-29 11:21:45,2025-08-29 11:33:40,139.55,143.7,,450,1826.99
2025-08-29 11:33:58,2025-08-29 11:47:09,147,145.3,,600,-1074.61
2025-08-29 11:47:16,2025-08-29 11:53:17,148.2,139.4,,600,-5332.39
2025-08-29 11:57:11,2025-08-29 11:59:24,141.95,134.8,,600,-4340.66
2025-08-29 11:59:51,2025-08-29 12:02:15,133.4,126.35,,600,-4277.49
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
56.11,-5107.22,Stop Loss,2.18,94892.78,,
13.36,1555.79,Take Profit 1,7.32,96448.57,,
46.26,4658.74,Trailing Stop,10.78,101107.31,,
14.03,1591.94,Take Profit 1,4.2,102699.25,,
48.38,4418.25,Trailing Stop,6.28,107117.49,,
58.99,-5112.97,Stop Loss,1.25,102004.52,,
52.24,-4364.49,Stop Loss,3.92,97640.04,,
14.07,1494.37,Take Profit 1,9.03,99134.4,,
40.51,1786.49,Trailing Stop,11.92,100920.89,,
54.61,-1129.22,Trailing Stop,13.18,99791.67,,
52.39,-5384.79,Stop Loss,6.02,94406.88,,
50.66,-4391.33,Stop Loss,2.22,90015.55,,
47.49,-4324.98,Stop Loss,2.4,85690.57,,
