Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"25,948.81",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",10.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",5,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-09-30 09:20:22,2025-09-30 09:21:01,238.45,248.95,,75,775.56
2025-09-30 09:20:22,2025-09-30 09:21:50,238.45,245.1,,300,1947.98
2025-09-30 09:24:44,2025-09-30 09:25:40,226,236,,75,738.68
2025-09-30 09:24:44,2025-09-30 09:26:21,226,229.45,,375,1238.73
2025-09-30 09:30:15,2025-09-30 09:30:53,197.6,186.55,,525,-5863.87
2025-09-30 09:32:36,2025-09-30 09:33:46,193.85,204.2,,75,766.46
2025-09-30 09:32:36,2025-09-30 09:34:11,193.85,203.45,,375,3551.22
2025-09-30 09:35:09,2025-09-30 09:35:54,196.3,186.1,,450,-4643.55
2025-09-30 09:40:05,2025-09-30 09:41:32,178.15,168,,525,-5385.15
2025-09-30 09:43:07,2025-09-30 09:44:22,175.8,176.75,,525,439.42
2025-09-30 09:45:34,2025-09-30 09:48:30,165.85,176.75,,75,809.02
2025-09-30 09:45:34,2025-09-30 09:50:56,165.85,178.5,,450,5641.14
2025-09-30 09:51:01,2025-09-30 09:55:01,181.35,171.2,,525,-5386.22
2025-09-30 09:56:08,2025-09-30 09:59:20,172.65,173.75,,525,519.17
2025-09-30 09:59:52,2025-09-30 10:01:34,179.45,189.9,,75,774.64
2025-09-30 09:59:52,2025-09-30 10:02:20,179.45,189.65,,450,4535.43
2025-09-30 10:04:07,2025-09-30 10:05:06,175.85,186,,75,752.33
2025-09-30 10:04:07,2025-09-30 10:05:25,175.85,179.3,,450,1500.91
2025-09-30 10:07:05,2025-09-30 10:07:42,172.15,172,,525,-136.49
2025-09-30 10:18:22,2025-09-30 10:19:22,160.55,160.8,,600,88.31
2025-09-30 10:20:54,2025-09-30 10:23:05,161.25,171.55,,150,1528.55
2025-09-30 10:20:54,2025-09-30 10:23:29,161.25,164.5,,450,1415.17
2025-09-30 10:33:24,2025-09-30 10:36:20,143.25,133.1,,675,-6908.7
2025-09-30 10:42:11,2025-09-30 10:43:10,126,136.3,,150,1531.93
2025-09-30 10:42:11,2025-09-30 10:44:27,126,130.85,,600,2859.8
2025-09-30 10:50:13,2025-09-30 10:53:38,130.2,140.55,,150,1539.02
2025-09-30 10:50:13,2025-09-30 10:55:50,130.2,156.15,,150,3877.52
2025-09-30 10:50:13,2025-09-30 10:56:15,130.2,159.1,,450,12959.22
2025-09-30 11:00:28,2025-09-30 11:00:38,155.45,166.05,,150,1574.07
2025-09-30 11:00:28,2025-09-30 11:00:53,155.45,165.7,,600,6086.43
2025-09-30 11:01:51,2025-09-30 11:06:16,172.3,182.75,,150,1549.97
2025-09-30 11:01:51,2025-09-30 11:07:03,172.3,175.9,,525,1830.95
2025-09-30 11:11:29,2025-09-30 11:15:34,185,174.4,,675,-7230.27
2025-09-30 11:16:29,2025-09-30 11:20:16,176.45,189.9,,150,1999.29
2025-09-30 11:16:29,2025-09-30 11:20:41,176.45,202.9,,150,3948.04
2025-09-30 11:16:29,2025-09-30 11:20:51,176.45,196.45,,375,7452.9
2025-09-30 11:22:03,2025-09-30 11:22:33,186.45,174.95,,675,-7838.01
2025-09-30 11:23:30,2025-09-30 11:25:15,161.9,150.45,,750,-8659.65
2025-09-30 11:28:39,2025-09-30 11:30:06,158.85,169.1,,150,1521.28
2025-09-30 11:28:39,2025-09-30 11:30:52,158.85,162.7,,600,2247.58
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
11.94,763.62,Take Profit 1,0.65,100763.62,,
47.02,1900.97,Trailing Stop,1.47,102664.59,,
11.32,727.37,Take Profit 1,0.93,103391.96,,
55.02,1183.72,Trailing Stop,1.62,104575.68,,
62.62,-5926.49,Stop Loss,0.63,98649.18,,
9.79,756.67,Take Profit 1,1.17,99405.85,,
48.78,3502.44,Trailing Stop,1.58,102908.28,,
53.55,-4697.09,Stop Loss,0.75,98211.19,,
56.4,-5441.54,Stop Loss,1.45,92769.65,,
59.33,380.09,Trailing Stop,1.25,93149.73,,
8.48,800.55,Take Profit 1,2.93,93950.28,,
51.36,5589.78,Trailing Stop,5.37,99540.06,,
57.47,-5443.69,Stop Loss,4,94096.37,,
58.33,460.85,Trailing Stop,3.2,94557.22,,
9.11,765.54,Take Profit 1,1.7,95322.76,,
54.57,4480.86,Trailing Stop,2.47,99803.62,,
8.92,743.41,Take Profit 1,0.98,100547.03,,
51.59,1449.32,Trailing Stop,1.3,101996.35,,
57.74,-194.23,Trailing Stop,0.62,101802.13,,
61.69,26.62,Trailing Stop,1,101828.75,,
16.45,1512.09,Take Profit 1,2.18,103340.84,,
47.33,1367.84,Trailing Stop,2.58,104708.68,,
57.45,-6966.14,Stop Loss,2.93,97742.54,,
13.07,1518.85,Take Profit 1,0.98,99261.4,,
50.2,2809.6,Trailing Stop,2.27,102071,,
13.48,1525.54,Take Profit 1,3.42,103596.54,,
14.98,3862.55,Take Profit 2,5.62,107459.08,,
45.78,12913.44,Trailing Stop,6.03,120372.53,,
15.93,1558.15,Take Profit 1,0.17,121930.68,,
63.57,6022.86,Trailing Stop,0.42,127953.54,,
17.53,1532.44,Take Profit 1,4.42,129485.98,,
59.05,1771.91,Trailing Stop,5.2,131257.89,,
75.27,-7305.54,Stop Loss,4.08,123952.35,,
18.21,1981.07,Take Profit 1,3.78,125933.42,,
19.46,3928.58,Take Profit 2,4.2,129862,,
47.1,7405.79,Trailing Stop,4.37,137267.79,,
75.51,-7913.52,Stop Loss,0.5,129354.28,,
72.15,-8731.8,Stop Loss,1.75,120622.48,,
16.22,1505.06,Take Profit 1,1.45,122127.55,,
