Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,-126.29,Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
"EMA Crossover, VWAP","Fast EMA: 9, Slow EMA: 21",15.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,75,819.51
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,225,3200.58
2025-07-21 09:21:56,2025-07-21 09:22:44,205.5,215.5,,75,739.88
2025-07-21 09:21:56,2025-07-21 09:23:53,205.5,211.6,,225,1342.68
2025-07-21 09:24:40,2025-07-21 09:25:43,214.95,227.95,,75,964.29
2025-07-21 09:24:40,2025-07-21 09:26:34,214.95,223.75,,225,1948.46
2025-07-21 09:26:53,2025-07-21 09:33:16,231,241.15,,75,749.92
2025-07-21 09:26:53,2025-07-21 09:34:02,231,234,,225,642.02
2025-07-21 09:36:53,2025-07-21 09:39:40,223.8,223.25,,300,-206.95
2025-07-21 11:49:10,2025-07-21 11:55:22,136.3,121,,300,-4612.74
2025-07-21 13:52:02,2025-07-21 13:58:30,127.75,137.95,,75,758.52
2025-07-21 13:52:02,2025-07-21 13:59:00,127.75,140,,225,2736.52
2025-07-21 14:00:02,2025-07-21 14:09:08,136.15,120.9,,300,-4597.72
2025-07-21 14:16:03,2025-07-21 14:52:39,128.45,113.15,,300,-4611.26
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
9.24,810.28,Take Profit 1,0.88,100810.28,,
28.17,3172.4,Trailing Stop,1.73,103982.68,,
10.12,729.75,Take Profit 1,0.8,104712.43,,
29.82,1312.85,Trailing Stop,1.95,106025.28,,
10.71,953.58,Take Profit 1,1.05,106978.86,,
31.54,1916.93,Trailing Stop,1.9,108895.79,,
11.33,738.59,Take Profit 1,6.38,109634.38,,
32.98,609.04,Trailing Stop,7.15,110243.42,,
41.95,-248.91,Trailing Stop,2.78,109994.51,,
22.74,-4635.48,Stop Loss,6.2,105359.03,,
6.48,752.04,Take Profit 1,6.47,106111.07,,
19.73,2716.79,Trailing Stop,6.97,108827.85,,
22.72,-4620.44,Stop Loss,9.1,104207.41,,
21.26,-4632.53,Stop Loss,36.6,99574.89,,
