Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-13,512.32",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
"EMA Crossover, VWAP","Fast EMA: 9, Slow EMA: 21",10.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",5,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-07-18 11:08:05,2025-07-18 11:25:05,197.95,187,,450,-4980.21
2025-07-18 11:44:05,2025-07-18 11:49:31,210.2,200,,375,-3871.98
2025-07-18 12:13:46,2025-07-18 12:20:41,207.9,208.5,,375,176.02
2025-07-18 12:36:48,2025-07-18 12:39:23,207,196.9,,375,-3833.75
2025-07-18 12:44:08,2025-07-18 12:49:36,199,196.45,,375,-1002.4
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
52.71,-5032.93,Stop Loss,17,94967.07,,
46.98,-3918.96,Stop Loss,5.43,91048.11,,
48.98,127.04,Trailing Stop,6.92,91175.15,,
46.25,-3880.01,Stop Loss,2.58,87295.15,,
46.15,-1048.55,Trailing Stop,5.47,86246.6,,
