Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"1,960.39",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",7.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-08-13 09:20:00,2025-08-13 09:21:04,129.7,122.4,,675,-4979.25
2025-08-13 09:21:27,2025-08-13 09:23:25,127.55,120.2,,675,-5012.07
2025-08-13 09:24:32,2025-08-13 09:25:14,124.55,135.8,,150,1674.74
2025-08-13 09:24:32,2025-08-13 09:25:38,124.55,129.5,,450,2191
2025-08-13 09:26:14,2025-08-13 09:28:47,125.65,118.15,,600,-4544.41
2025-08-13 09:29:04,2025-08-13 09:32:25,123.4,122.75,,600,-436.14
2025-08-13 09:33:26,2025-08-13 09:35:09,115.6,125.9,,150,1533.17
2025-08-13 09:33:26,2025-08-13 09:40:16,115.6,140.7,,150,3751.78
2025-08-13 09:33:26,2025-08-13 09:42:32,115.6,138.9,,300,6963.9
2025-08-13 09:42:40,2025-08-13 09:44:50,143,135.5,,600,-4550.93
2025-08-13 09:45:11,2025-08-13 09:47:10,140.3,138.95,,600,-862.22
2025-08-13 09:47:23,2025-08-13 09:48:32,143.35,153.95,,150,1575.53
2025-08-13 09:47:23,2025-08-13 09:51:03,143.35,150.25,,450,3062.65
2025-08-13 09:51:43,2025-08-13 09:57:55,149.85,152.6,,600,1592.64
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
51.75,-5031.01,Stop Loss,1.07,94968.99,,
50.82,-5062.9,Stop Loss,1.97,89906.09,,
12.76,1661.98,Take Profit 1,0.7,91568.07,,
36.5,2154.49,Trailing Stop,1.1,93722.56,,
44.41,-4588.81,Stop Loss,2.55,89133.75,,
46.14,-482.27,Trailing Stop,3.35,88651.48,,
11.83,1521.34,Take Profit 1,1.72,90172.82,,
13.22,3738.56,Take Profit 2,6.83,93911.38,,
26.1,6937.79,Trailing Stop,9.1,100849.17,,
50.93,-4601.86,Stop Loss,2.17,96247.31,,
52.22,-914.45,Trailing Stop,1.98,95332.86,,
14.47,1561.07,Take Profit 1,1.15,96893.93,,
42.35,3020.29,Trailing Stop,3.67,99914.23,,
57.36,1535.29,Trailing Stop,6.2,101449.52,,
